unit_type,phylo_group,broad_family,branch_class,terminal_snp_norm,surname_id,slava_id,region_id,location_id,lat,long
location_terminal,PH908_primary,PH908_family,Founder,FT16449,Грцић,Јовањдан,Босанска Крајина,Лука/Босанско Грахово,44.1593887,16.4009362
location_terminal,PH908_primary,PH908_family,Founder,FT14506,Митровић,Зачеће Св. Јована Крститеља,Херцеговина,Лука/Лапја/Требиње,42.6543069,18.3038914
location_terminal,E,non_I2,Founder,E-Z16988,Зуровац,Јовањдан,Херцеговина,Лука/Невесиње,43.4349614,18.1173786
location_terminal,R1a,non_I2,Founder,FT288648,Цвијановић,Стевањдан,Североисточна Босна,Лукавац Горњи/Лукавац,44.5784343,18.5362383
location_terminal,I1,non_I2,Founder,Y155080,Савић,Лучиндан,Колубара,Лукавац/Ваљево,44.2970451,19.9999414
location_terminal,J2,non_I2,Relic,J-PF7412,Богић,Петковдан,Тимочка Крајина,Луково/Бољевац,43.8007681,21.8387674
location_terminal,PH908_primary,PH908_family,Founder,BY93199,Радовић,Аранђеловдан,Стара Херцеговина,Луково/Никшић,42.8048674,19.0215375
location_terminal,R1b,non_I2,Founder,FT49714,Јовановић,Аранђеловдан,Брда,Лутово/Подгорица,42.6279981,19.3856978
location_terminal,PH908_primary,PH908_family,Relic,BY55537,Рендулић,Никољдан,Стари Влах,Лучани,43.8602275,20.1365353
location_terminal,R1a,non_I2,Founder,BY99654,Предојевић,Алимпијевдан,Босанска Крајина,Лушци Паланка/Сански Мост,44.7461652,16.4310366
location_terminal,PH908_primary,PH908_family,Founder,FT14506,Прошић,Вартоломијевдан,Босанска Крајина,Лушци Паланка/Сански Мост,44.7461652,16.4310366
location_terminal,J2,non_I2,Founder,J-Y22059,Николић,Лучиндан,Шумадија,Луњевица/Горњи Милановац,43.9969955,20.4801032
location_terminal,I1,non_I2,Founder,FGC22061,Туфегџић,Јовањдан,Босанска Крајина,Магаљдол/Мркоњић Град,44.3941626,17.1568811
location_terminal,R1a,non_I2,Founder,Z280,Јевтић,Михољдан,Североисточна Босна,Магнојевић Доњи/Бијељина,44.8061995,19.0135165
location_terminal,E,non_I2,Founder,E-Y142744,Богдановић,Јовањдан,Североисточна Босна,Магнојевић Средњи/Бијељина,44.7830695,18.9928742
location_terminal,I1,non_I2,Founder,FGC22061,Петковић,Мала Госпојина,Зета,Мажина/Тиват,42.4349651,18.7015452
location_terminal,I1,non_I2,Founder,FGC22061,Дрчелић,Никољдан,Стари Влах,Мажићи/Прибој,43.4962651,19.6021988
location_terminal,N,non_I2,Founder,N-FGC28435,Бабић,Јовањдан,Лика,Мазин/Грачац,44.4528213,15.9668142
location_terminal,I1,non_I2,Founder,FGC22061,Ковач,Никољдан,Источна Босна,Мазоче/Фоча,43.4022632,18.8016731
location_terminal,I1,non_I2,Founder,FTA86559,Љубичић,Видовдан,Банија,Мала Врановина/Топуско,45.2846486,16.0085184
location_terminal,G,non_I2,Founder,G-FTC64765,Петровић,Аранђеловдан,Мачва,Мала Врањска/Шабац,44.695063,19.733799
location_terminal,I1,non_I2,Relic,Z58,Галијаш,Никољдан,Централна Хрватска,Мала Градуса/Суња,45.3385545,16.4635965
location_terminal,PH908_primary,PH908_family,Founder,Y51673,Поповић,Никољдан,Херцеговина,Мала Грачаница/Грачаница/Гацко,43.1784292,18.5216392
location_terminal,G,non_I2,Founder,G-Y128480,Николић,Никољдан,Топлица,Мала Драгуша/Блаце,43.2701119,21.3567636
location_terminal,R1a,non_I2,Founder,YP417,Марковић,Ђурђиц,Шумадија,Мала Иванча/Сопот,44.5931773,20.6105874
location_terminal,R1b,non_I2,Relic,PF7563,Ђурић,Никољдан,Топлица,Мала Косаница/Куршумлија,42.976845,21.2952074
location_terminal,PH908_primary,PH908_family,Founder,FT14506,Ступар,Лазарева Субота,Босанска Крајина,Мала Крупска Рујишка/Нови Град,44.9216557,16.3432266
location_terminal,E,non_I2,Founder,E-Y128213,Арсеновић,Јовањдан,Североисточна Босна,Мала Обарска/Бијељина,44.7929623,19.2011643
location_terminal,R1a,non_I2,Founder,L1029,Вакичић,Мратиндан,Североисточна Босна,Мала Обарска/Бијељина,44.7929623,19.2011643
location_terminal,PH908_primary,PH908_family,Relic,FT109387,Стевановић,Св. апостол Филип,Шумадија,Мала Плана/Смедеревска Паланка,44.3699164,21.016793
location_terminal,J2,non_I2,Founder,J-Z38299,Пауновић,Никољдан,Шумадија,Мала Плана/Смедеревска Паланка,44.3699164,21.016793
location_terminal,E,non_I2,Founder,E-Y142744,Марчетић,Аранђеловдан,Лика,Мала Попина/Отрић/Грачац,44.2322197,16.0557494
location_terminal,E,non_I2,Founder,E-FT178289,Дакић,Јовањдан,Стара Херцеговина,Мала Црна Гора/Жабљак,43.2085897,19.0062228
location_terminal,PH908_primary,PH908_family,Founder,FT14506,Станимировић,Лазарева Субота,Стара Херцеговина,Мале Крће/Пљевља,43.4276152,19.2895324
location_terminal,R1a,non_I2,Founder,Y144943,Шакотић,Лазарева Субота,Североисточна Босна,Малешић/Зворник,44.4923689,19.0660931
