target_relic_rate,target_founder_rate,control_relic_rate,control_founder_rate,target_relic_n,target_founder_n,control_relic_n,control_founder_n,target_relic_yes,target_founder_yes,control_relic_yes,control_founder_yes,target_relic_minus_founder,control_relic_minus_founder,did_lift,unit_type,target_name,control_set,feature,feature_type
0.5365853658536586,0.4044665012406948,0.5214285714285715,0.4884965222043874,82,403,280,1869,44,163,146,913,0.1321188646129638,0.03293204922418408,0.09918681538877971,cluster,PH908_primary,all_non_I2,surname_vic,binary
0,0.0024813895781637717,0.02142857142857143,0.00749063670411985,82,403,280,1869,0,1,6,14,-0.0024813895781637717,0.013937934724451578,-0.01641932430261535,cluster,PH908_primary,all_non_I2,surname_ski,binary
0.9390243902439024,0.9851116625310173,0.9,0.9684323167469235,82,403,280,1869,77,397,252,1810,-0.046087272287114955,-0.06843231674692352,0.02234504445980856,cluster,PH908_primary,all_non_I2,slava_informative,binary
0.17073170731707318,0.10669975186104218,0.225,0.12520064205457465,82,403,280,1869,14,43,63,234,0.064031955456031,0.09979935794542535,-0.03576740248939435,cluster,PH908_primary,all_non_I2,rare_slava_region_2,binary
0.3780487804878049,0.24813895781637718,0.41785714285714287,0.25842696629213485,82,403,280,1869,31,100,117,483,0.1299098226714277,0.15943017656500802,-0.02952035389358032,cluster,PH908_primary,all_non_I2,rare_slava_region_5,binary
0.7195121951219512,0.7295285359801489,0.7821428571428571,0.7437132156233279,82,403,280,1869,59,294,219,1390,-0.010016340858197692,0.03842964151952921,-0.048445982377726904,cluster,PH908_primary,all_non_I2,rare_surname_region_1,binary
0.8902439024390244,0.8833746898263027,0.9321428571428572,0.9052969502407705,82,403,280,1869,73,356,261,1692,0.006869212612721665,0.026845906902086658,-0.019976694289364993,cluster,PH908_primary,all_non_I2,rare_surname_region_2,binary
0.9390243902439024,0.8933002481389578,0.7642857142857142,0.8421615837346175,82,403,280,1869,77,360,214,1574,0.045724142104944576,-0.07787586944890323,0.12360001155384781,cluster,PH908_primary,all_non_I2,i2_ecology_near30,binary
0.8414634146341463,0.7096774193548387,0.5392857142857143,0.6474050294275013,82,403,280,1869,69,286,151,1210,0.13178599527930757,-0.10811931514178708,0.23990531042109464,cluster,PH908_primary,all_non_I2,i2_ecology_dense30,binary
0.5853658536585366,0.3970223325062035,0.45,0.5280898876404494,82,403,280,1869,48,160,126,987,0.18834352115233305,-0.07808988764044938,0.26643340879278243,cluster,PH908_primary,all_non_I2,i2_ecology_diverse30,binary
0.5121951219512195,0.5558312655086849,0.3821428571428571,0.4917067950775816,82,403,280,1869,42,224,107,919,-0.04363614355746537,-0.10956393793472446,0.0659277943772591,cluster,PH908_primary,all_non_I2,i2_ecology_terminal_diverse30,binary
0.23170731707317074,0.2903225806451613,0.125,0.26110219368646337,82,403,280,1869,19,117,35,488,-0.05861526357199057,-0.13610219368646337,0.0774869301144728,cluster,PH908_primary,all_non_I2,i2_ecology_share30_gt50,binary
0.14634146341463414,0.24813895781637718,0.09642857142857143,0.20117710005350456,82,403,280,1869,12,100,27,376,-0.10179749440174304,-0.10474852862493313,0.0029510342231900827,cluster,PH908_primary,all_non_I2,i2_ecology_share50_gt50,binary
0.4268292682926829,0.41935483870967744,0.275,0.3552701979668272,82,403,280,1869,35,169,77,664,0.007474429583005482,-0.08027019796682716,0.08774462754983264,cluster,PH908_primary,all_non_I2,i2_ecology_no_r1a30,binary
0.2682926829268293,0.2903225806451613,0.125,0.26110219368646337,82,403,280,1869,22,117,35,488,-0.022029897718332025,-0.13610219368646337,0.11407229596813134,cluster,PH908_primary,all_non_I2,i2_ecology_i2_over_non_i2_30,binary
0.5121951219512195,0.456575682382134,0.2857142857142857,0.3750668806848582,82,403,280,1869,42,184,80,701,0.05561943956908555,-0.08935259497057252,0.14497203453965807,cluster,PH908_primary,all_non_I2,nearest_relic_is_i2,binary
0.14634146341463414,0.2555831265508685,0.1,0.18994114499732478,82,403,280,1869,12,103,28,355,-0.10924166313623437,-0.08994114499732478,-0.019300518138909595,cluster,PH908_primary,all_non_I2,nearest_i2_and_i2_share30_gt50,binary
0.6097560975609756,0.41935483870967744,0.6392857142857142,0.7025147137506688,82,403,280,1869,50,169,179,1313,0.19040125885129816,-0.06322899946495453,0.2536302583162527,cluster,PH908_primary,all_non_I2,geography_plus_suffix_ic,binary
0.32926829268292684,0.23076923076923078,0.425,0.4146602461209203,82,403,280,1869,27,93,119,775,0.09849906191369606,0.010339753879079705,0.08815930803461636,cluster,PH908_primary,all_non_I2,geography_plus_ovic_evic,binary
0.2804878048780488,0.07444168734491315,0.2571428571428571,0.28731942215088285,82,403,280,1869,23,30,72,537,0.20604611753313568,-0.030176565008025735,0.2362226825411614,cluster,PH908_primary,all_non_I2,cloud_plus_suffix_ic,binary
0.13414634146341464,0.04466501240694789,0.09642857142857143,0.12092027822364901,82,403,280,1869,11,18,27,226,0.08948132905646675,-0.024491706795077575,0.11397303585154432,cluster,PH908_primary,all_non_I2,cloud_plus_non_ovic_ic,binary
0.2804878048780488,0.07444168734491315,0.2571428571428571,0.28731942215088285,82,403,280,1869,23,30,72,537,0.20604611753313568,-0.030176565008025735,0.2362226825411614,cluster,PH908_primary,all_non_I2,geo_cloud_suffix_triad,binary
0,0,0,0,82,403,280,1869,0,0,0,0,0,0,0,cluster,PH908_primary,all_non_I2,elevation_ge_700,binary
0,0,0,0,82,403,280,1869,0,0,0,0,0,0,0,cluster,PH908_primary,all_non_I2,elevation_ge_900,binary
0,0,0,0,82,403,280,1869,0,0,0,0,0,0,0,cluster,PH908_primary,all_non_I2,elevation_resid_ge_100,binary
0,0,0,0,82,403,280,1869,0,0,0,0,0,0,0,cluster,PH908_primary,all_non_I2,mountain_i2_near30,binary
0,0,0,0,82,403,280,1869,0,0,0,0,0,0,0,cluster,PH908_primary,all_non_I2,mountain_cloud_i2,binary
0.6097560975609756,1,0.16785714285714284,0.2081326912787587,82,403,280,1869,50,403,47,389,-0.3902439024390244,-0.04027554842161585,-0.34996835401740856,cluster,PH908_primary,all_non_I2,old_age_known,binary
0.036585365853658534,0.6401985111662531,0.10714285714285714,0.12145532370251472,82,403,280,1869,3,258,30,227,-0.6036131453125946,-0.01431246655965758,-0.589300678752937,cluster,PH908_primary,all_non_I2,age_ge_1500,binary
0.036585365853658534,0,0.05714285714285714,0.11235955056179775,82,403,280,1869,3,0,16,210,0.036585365853658534,-0.05521669341894061,0.09180205927259914,cluster,PH908_primary,all_non_I2,age_ge_2000,binary
0.5098039215686274,0.42857142857142855,0.35344827586206895,0.3972972972972973,51,42,232,1480,26,18,82,588,0.08123249299719887,-0.04384902143522834,0.1250815144324272,cluster,nonPH908_I2,non_I2_excl_R1a,other_i2_social,binary
0.7647058823529411,0.8333333333333334,0.7586206896551724,0.8452702702702702,51,42,232,1480,39,35,176,1251,-0.06862745098039225,-0.08664958061509787,0.01802212963470562,cluster,nonPH908_I2,non_I2_excl_R1a,other_i2_near_30km,binary
0.5294117647058824,0.5714285714285714,0.625,0.6391891891891892,51,42,232,1480,27,24,145,946,-0.04201680672268904,-0.01418918918918921,-0.027827617533499827,cluster,nonPH908_I2,non_I2_excl_R1a,other_i2_dist_le_20,binary
0.9411764705882353,0.9523809523809523,0.9396551724137931,0.9702702702702702,51,42,232,1480,48,40,218,1436,-0.011204481792717047,-0.03061509785647709,0.019410616063760044,cluster,nonPH908_I2,non_I2_excl_R1a,other_i2_dist_le_50,binary
0.47058823529411764,0.35714285714285715,0.30603448275862066,0.3587837837837838,51,42,232,1480,24,15,71,531,0.11344537815126049,-0.05274930102516312,0.1661946791764236,cluster,nonPH908_I2,non_I2_excl_R1a,other_i2_cloud_social_spatial,binary
